query,question,all_values_found,model_prediction,executable,correct
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.description = 'Life Sciences',How many erc panels are dedicated to Life Sciences,True,SELECT COUNT(*) FROM erc_panels JOIN erc_research_domains ON erc_panels.part_of = erc_research_domains.code WHERE erc_research_domains.description = 'Life Sciences',True,True
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'LS',Count the number of erc panels that are part of Life Sciences,False,SELECT COUNT(*) FROM erc_panels JOIN erc_research_domains ON erc_panels.part_of = erc_research_domains.code WHERE erc_research_domains.description = 'Life Sciences',True,True
SELECT t1.description from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',List all of the european research council panels related to social sciences and humanities,False,SELECT erc_panels.description FROM erc_panels JOIN erc_research_domains ON erc_panels.part_of = erc_research_domains.code WHERE erc_research_domains.description = 'Social Sciences and Humanities',True,False
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',How many european research council panels are related to social sciences and humanities,False,SELECT COUNT(*) FROM erc_panels JOIN erc_research_domains ON erc_panels.part_of = erc_research_domains.code WHERE erc_research_domains.description = 'Social Sciences and Humanities',True,False
SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',Show all of the project members that are private for profit entities,False,SELECT project_members.member_name FROM project_members JOIN activity_types ON project_members.activity_type = activity_types.code WHERE activity_types.description = 'Private-for-profit entity',True,False
SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',Which project members are businesses?,False,SELECT project_members.member_name FROM project_members JOIN activity_types ON project_members.activity_type = activity_types.code WHERE activity_types.description = 'Private-for-profit entity',True,False
SELECT count(member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',How many project members are businesses?,False,SELECT COUNT(*) FROM project_members JOIN activity_types ON project_members.activity_type = activity_types.code WHERE activity_types.description = 'Private-for-profit entity',True,False
SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'HES',How many project members are Higher or Secondary Education Establishments?,False,SELECT COUNT(*) FROM project_members JOIN activity_types ON project_members.activity_type = activity_types.code WHERE activity_types.description = 'Higher or Secondary Education Establishment',True,False
SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.description = 'Higher or Secondary Education Establishments',Count the number of project members that are Educational Establishments,False,SELECT COUNT(*) FROM project_members JOIN activity_types ON project_members.activity_type = activity_types.code WHERE activity_types.description = 'Higher or Secondary Education Establishment',True,False
SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',How many projects have been related to Robotics?,True,SELECT COUNT(*) FROM projects JOIN project_subject_areas ON projects.unics_id = project_subject_areas.project JOIN subject_areas ON project_subject_areas.subject_area = subject_areas.code WHERE subject_areas.description = 'Robotics',True,False
SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',What is the number of projects that have been carried out in the subject area of Robotics?,True,SELECT COUNT(*) FROM projects JOIN project_subject_areas ON projects.unics_id = project_subject_areas.project JOIN subject_areas ON project_subject_areas.subject_area = subject_areas.code WHERE subject_areas.description = 'Robotics',True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1",Which non-EU entity has recieved the most funding through a project?,False,"SELECT project_members.member_name, SUM(projects.total_cost) FROM project_members JOIN projects ON project_members.project = projects.unics_id WHERE project_members.country NOT IN (SELECT country_name FROM countries WHERE geocode_country_code IN (SELECT geocode_country_code FROM countries WHERE country_name = 'Austria')) GROUP BY project_members.member_name ORDER BY SUM(projects.total_cost) DESC LIMIT 1",True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1",Which entity located outside of the EU has received the most funding?,False,"SELECT project_members.member_name, SUM(projects.total_cost) FROM project_members JOIN projects ON project_members.project = projects.unics_id WHERE project_members.country NOT IN (SELECT country_name FROM countries WHERE geocode_country_code IN (SELECT geocode_country_code FROM countries WHERE country_name = 'Austria')) GROUP BY project_members.member_name ORDER BY SUM(projects.total_cost) DESC LIMIT 1",True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1",Which non-EU entity has recieved the least funding through a project?,False,"SELECT project_members.member_name, SUM(projects.total_cost) FROM project_members JOIN projects ON project_members.project = projects.unics_id WHERE project_members.country NOT IN (SELECT country_name FROM countries WHERE geocode_country_code IN (SELECT geocode_country_code FROM countries WHERE country_name = 'Austria')) GROUP BY project_members.member_name ORDER BY SUM(projects.total_cost) ASC LIMIT 1",True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1",Which entity located outside of the EU has received the least funding?,False,"SELECT project_members.member_name, SUM(projects.total_cost) FROM project_members JOIN projects ON project_members.project = projects.unics_id WHERE project_members.country NOT IN (SELECT country_name FROM countries WHERE geocode_country_code IN (SELECT geocode_country_code FROM countries WHERE country_name = 'Austria')) GROUP BY project_members.member_name ORDER BY SUM(projects.total_cost) ASC LIMIT 1",True,False
SELECT count(distinct t1.member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id  WHERE t1.geocode_regions_3 = 'NONEU',How many non-EU entities have participated in projects?,False,SELECT COUNT(DISTINCT project_members.member_name) FROM project_members JOIN projects ON project_members.project = projects.unics_id WHERE project_members.country NOT IN (SELECT country_name FROM countries WHERE geocode_country_code IN (SELECT geocode_country_code FROM countries WHERE country_name = 'Austria')),True,False
SELECT distinct t1.member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU',Which entities that are located outside of the European Union have participated in projects?,False,SELECT DISTINCT project_members.member_name FROM project_members JOIN projects ON project_members.project = projects.unics_id WHERE project_members.country NOT IN (SELECT country_name FROM countries WHERE geocode_country_code IN (SELECT geocode_country_code FROM countries WHERE country_name = 'Austria')),True,False
