query,question,all_values_found,model_prediction,executable,correct
select p.title from projects as p where p.total_cost > 1000000,Show the title of projects with costs higher than a million,True,,False,False
"select title, member_name from projects as p join project_members as pm on p.unics_id = pm.project join project_member_roles as pmr on pm.member_role = pmr.code where pmr.code = 'partner'",Show the project title and member name where the member has a partner role ,True,,False,False
select distinct description from erc_research_domains,What different research domains do exist?,True,,False,False
select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,Show me the country name of all institutes.,True,,False,False
select c.country_name from countries as c join institutions as i on c.unics_id = i.country_id,Show me the country of all institutes.,True,,False,False
"select country_code2, country_code3 from countries where country_name = 'Andorra'",What is the country code 2 and country code 3 for Andorra?,True,,False,False
select code from funding_schemes where title = 'Framework Partnership Agreement',Find the code of the funding scheme for Framework Partnership Agreement,True,,False,False
select title from programmes where short_name = 'Transport',Show me the full title of the program which is called 'Transport' in short.,True,,False,False
"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'",Find member name and role code of project members in project with acronym GTBB,True,,False,False
"select pm.member_name, pr.code from project_members as pm join projects as p on pm.project = p.unics_id join project_member_roles as pr on pm.member_role = pr.code where p.acronym = 'GTBB'",Find member name and role code of project members in project GTBB,True,,False,False
select title from programmes where parent = 'FP7',Show titles of programmes which have FP7 as parent program,True,,False,False
select title from programmes where parent = 'FP7',Show titles of programmes which have program with code FP7 as parent program,True,,False,False
select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',Get panel descriptions from research domain Life Sciences,True,,False,False
select p.description from erc_panels as p join erc_research_domains as erd on p.part_of = erd.code where erd.description = 'Life Sciences',Get panel descriptions from research domain life sciences,True,,False,False
select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',Find project members of type Research Organisations,True,,False,False
select member_name from project_members as mb join activity_types as a on a.code = mb.activity_type where a.description = 'Research Organisations',Get names of project members who's activity type description is Research Organisations,True,,False,False
select objective from projects where acronym = 'DEEPCARBON',What is the objective of DEEPCARBON?,True,,False,False
select objective from projects where acronym = 'DEEPCARBON',What is the objective of the project with acronym DEEPCARBON?,True,,False,False
select title from projects where objective like '%carbon capturing%',Get the title of projects having the term 'carbon capturing' in it's objective.,True,,False,False
select count(*) from projects where objective like '%carbon capturing%',How many projects have an objective which contains 'carbon capturing'?,True,,False,False
select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id where country_name = 'France' except select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id join eu_territorial_units as etu on i.geocode_regions_3 = etu.geocode_regions where country_name = 'France' and etu.description = 'Paris',Show all names of institutions from France except institutions from the territorial region of Paris,True,,False,False
select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id where country_name = 'France' except select i.institutions_name from institutions as i join countries as c on c.unics_id = i.country_id join eu_territorial_units as etu on i.geocode_regions_3 = etu.geocode_regions where country_name = 'France' and etu.description = 'Paris',Show institutions from France except the ones from Paris,True,,False,False
SELECT distinct member_name from project_members WHERE member_name NOT in (SELECT member_name from project_members where member_role = 'coordinator'),Which institutions have never been project coordinators,True,,False,False
SELECT distinct member_name from project_members WHERE member_name NOT in (SELECT member_name from project_members where member_role = 'coordinator'),Show all of the instituions that have never coordinated a project,False,,False,False
"SELECT t1.full_name, count(p.title) FROM people as t1 join projects as p on t1.unics_id = p.principal_investigator group by t1.full_name HAVING count(p.title) > 1",Show all of the names of people who have worked on multiple projects,False,,False,False
"SELECT t1.full_name, count(p.title) FROM people as t1 join projects as p on t1.unics_id = p.principal_investigator group by t1.full_name HAVING count(p.title) > 1",Which people have worked on more than one project,True,,False,False
"SELECT t1.title, MAX(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MAX(t3.ec_max_contribution) DESC LIMIT 1",What is the title of the subject area that has been granted the most funding,True,,False,False
"SELECT t1.title, MAX(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MAX(t3.ec_max_contribution) DESC LIMIT 1",Which subject area has recieved the highest funding contribution?,True,,False,False
"SELECT t1.title, MIN(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MIN(t3.ec_max_contribution) DESC LIMIT 1",Which subject area has recieved the least funding contribution,True,,False,False
"SELECT t1.title, MIN(t3.ec_max_contribution) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id  group by t1.title order by  MIN(t3.ec_max_contribution) DESC LIMIT 1",What is the title of the subject area that has been granted the least amount of funding,True,,False,False
"Select i.institutions_name, Count(distinct project) From project_members join institutions as i on project_members.institution_id = i.unics_id GROUP BY i.institutions_name order by count(distinct project) desc limit 1",Which institution has participated in the most projects,True,,False,False
"Select i.institutions_name, Count(distinct project) From project_members join institutions as i on project_members.institution_id = i.unics_id GROUP BY i.institutions_name order by count(distinct project) desc limit 1",Show the institution that has been involved in the highest number of projects,True,,False,False
"Select t2.institutions_name, Count(distinct project) From project_members as t1 join institutions as t2 on t1.institution_id = t2.unics_id GROUP BY t2.institutions_name order by count(distinct project) asc limit 1",Which institution has participated in the fewest projects,True,,False,False
"Select t2.institutions_name, Count(distinct project) From project_members as t1 join institutions as t2 on t1.institution_id = t2.unics_id GROUP BY t2.institutions_name order by count(distinct project) asc limit 1",Show the institution that has been involved in the least amount of projects,True,,False,False
"SELECT t1.title, sum(ec_max_contribution) from funding_schemes as t1 join projects as t2 on t1.code = t2.ec_fund_scheme group by t1.title ORDER BY sum(ec_max_contribution) DESC LIMIT 1",Which funding scheme provided the most funding,True,,False,False
"SELECT t1.title, sum(ec_max_contribution) from funding_schemes as t1 join projects as t2 on t1.code = t2.ec_fund_scheme group by t1.title ORDER BY sum(ec_max_contribution) ASC LIMIT 1",Which funding scheme provided the least funding,True,,False,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t2.code = 'PRC' ORDER BY ec_max_contribution DESC",Show the industrial partners that have worked on projects and the amount of funding they have recieved in order from most to least,False,,False,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t2.code = 'PRC' ORDER BY ec_max_contribution DESC",Show the amount of funding and corresponding list of industrial partners that have worked on projects in order from the most funding to the least funding,False,,False,False
"SELECT p.title, p.start_year from projects as p order by start_year DESC",Show the title and the start year of the most recent projects,True,,False,False
"SELECT p.title, p.start_year from projects as p order by start_year DESC",Which projects have started most recently?,True,,False,False
"SELECT p.title, p.start_year from projects as p order by start_year ASC",Show title and the starting year of the least recent projects,True,,False,False
"SELECT p.title, p.start_year from projects as p order by start_year ASC",Which projects have started the least recently?,True,,False,False
SELECT p.start_date from projects as p order by start_date ASC,What is the starting date of the first recorded project,True,,False,False
SELECT p.start_date from projects as p order by start_date ASC,On which date did the first project start?,True,,False,False
SELECT t3.title from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Climate change and Carbon cycle research',Show the titles of all of the projects in the subject area of Climate change and Carbon cycle research,False,,False,False
SELECT t3.title from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Climate change and Carbon cycle research',Show the titles of all of the projects that share the subject area code 'CCC,False,,False,False
SELECT pmr.description from project_member_roles as pmr,List all of the possible roles that project members can have in projects,True,,False,False
SELECT pmr.description from project_member_roles as pmr,What are all of the ways that projects members can participate in projects?,True,,False,False
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.description = 'Life Sciences',How many erc panels are dedicated to Life Sciences,True,,False,False
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'LS',Count the number of erc panels that are part of Life Sciences,False,,False,False
SELECT t1.description from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',List all of the european research council panels related to social sciences and humanities,False,,False,False
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',How many european research council panels are related to social sciences and humanities,False,,False,False
SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',Show all of the project members that are private for profit entities,False,,False,False
SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',Which project members are businesses?,False,,False,False
SELECT count(member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',How many project members are businesses?,False,,False,False
SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'HES',How many project members are Higher or Secondary Education Establishments?,False,,False,False
SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.description = 'Higher or Secondary Education Establishments',Count the number of project members that are Educational Establishments,False,,False,False
SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',How many projects have been related to Robotics?,True,,False,False
SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',What is the number of projects that have been carried out in the subject area of Robotics?,True,,False,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1",Which non-EU entity has recieved the most funding through a project?,False,,False,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1",Which entity located outside of the EU has received the most funding?,False,,False,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1",Which non-EU entity has recieved the least funding through a project?,False,,False,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1",Which entity located outside of the EU has received the least funding?,False,,False,False
SELECT count(distinct t1.member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id  WHERE t1.geocode_regions_3 = 'NONEU',How many non-EU entities have participated in projects?,False,,False,False
SELECT distinct t1.member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU',Which entities that are located outside of the European Union have participated in projects?,False,,False,False
SELECT p.title from programmes as p WHERE p.title like '%climate%',Show all of the programmes with titles that are related to climate,False,,False,False
SELECT p.title from programmes as p WHERE p.title like '%climate%',List the programms that have the term climate in the title,False,,False,False
"SELECT t1.title, sum(t3.ec_max_contribution) from programmes as t1 join project_programmes as t2 on t1.code = t2.programme join projects as t3 on t3.unics_id = t2.project group by t1.title",Show the title and amount of funds that have been allocated per programme,True,,False,False
"SELECT t1.title, sum(t3.ec_max_contribution) from programmes as t1 join project_programmes as t2 on t1.code = t2.programme join projects as t3 on t3.unics_id = t2.project group by t1.title",List all of the titles and the amount of funding that has been dispersed per programme,True,,False,False
