query,question,all_values_found,model_prediction,executable,correct
SELECT count(t1.description) from erc_panels as t1 join erc_research_domains as t2 on t2.code = t1.part_of WHERE t2.code = 'SH',How many european research council panels are related to social sciences and humanities,False,SELECT COUNT(*) FROM erc_panels WHERE part_of = 'SH',True,True
SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',Show all of the project members that are private for profit entities,False,SELECT member_name FROM project_members WHERE activity_type = 'Private-for-profit entity',True,False
SELECT member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',Which project members are businesses?,False,SELECT member_name FROM project_members WHERE activity_type = 'Private-for-profit entity',True,False
SELECT count(member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'PRC',How many project members are businesses?,False,SELECT COUNT(*) FROM project_members WHERE activity_type = 'Private-for-profit entity',True,False
SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.code = 'HES',How many project members are Higher or Secondary Education Establishments?,False,SELECT COUNT(*) FROM project_members WHERE activity_type = 'Higher or Secondary Education Establishments',True,False
SELECT count (distinct member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code WHERE t2.description = 'Higher or Secondary Education Establishments',Count the number of project members that are Educational Establishments,False,SELECT COUNT(*) FROM project_members WHERE activity_type = 'Higher or Secondary Education Establishments',True,False
SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',How many projects have been related to Robotics?,True,SELECT COUNT(*) FROM projects WHERE acronym IN (SELECT acronym FROM projects WHERE title LIKE '%Robotics%'),True,False
SELECT count(t3.title) from subject_areas as t1 join project_subject_areas as t2 on t1.code = t2.subject_area join projects as t3 on t2.project = t3.unics_id WHERE t1.title = 'Robotics',What is the number of projects that have been carried out in the subject area of Robotics?,True,SELECT COUNT(*) FROM projects WHERE acronym IN (SELECT acronym FROM projects WHERE title LIKE '%Robotics%'),True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1",Which non-EU entity has recieved the most funding through a project?,False,SELECT pm.member_name FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.country NOT IN (SELECT country_code2 FROM countries) GROUP BY pm.member_name ORDER BY SUM(p.total_cost) DESC LIMIT 1,True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution DESC LIMIT 1",Which entity located outside of the EU has received the most funding?,False,SELECT pm.member_name FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.country NOT IN (SELECT country_code2 FROM countries) GROUP BY pm.member_name ORDER BY SUM(p.total_cost) DESC LIMIT 1,True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1",Which non-EU entity has recieved the least funding through a project?,False,SELECT pm.member_name FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.country NOT IN (SELECT country_code2 FROM countries) GROUP BY pm.member_name ORDER BY SUM(p.total_cost) ASC LIMIT 1,True,False
"SELECT t1.member_name, p.ec_max_contribution FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU' ORDER BY ec_max_contribution ASC LIMIT 1",Which entity located outside of the EU has received the least funding?,False,SELECT pm.member_name FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.country NOT IN (SELECT country_code2 FROM countries) GROUP BY pm.member_name ORDER BY SUM(p.total_cost) ASC LIMIT 1,True,False
SELECT count(distinct t1.member_name) FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id  WHERE t1.geocode_regions_3 = 'NONEU',How many non-EU entities have participated in projects?,False,SELECT COUNT(DISTINCT pm.member_name) FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.country NOT IN (SELECT country_code2 FROM countries),True,False
SELECT distinct t1.member_name FROM project_members as t1 join activity_types as t2 on t1.activity_type = t2.code join projects as p on t1.project = p.unics_id WHERE t1.geocode_regions_3 = 'NONEU',Which entities that are located outside of the European Union have participated in projects?,False,SELECT DISTINCT pm.member_name FROM project_members pm JOIN projects p ON pm.project = p.unics_id WHERE pm.country NOT IN (SELECT country_code2 FROM countries),True,False
SELECT p.title from programmes as p WHERE p.title like '%climate%',Show all of the programmes with titles that are related to climate,False,SELECT title FROM programmes WHERE title LIKE '%climate%',True,True
SELECT p.title from programmes as p WHERE p.title like '%climate%',List the programms that have the term climate in the title,False,SELECT title FROM programmes WHERE title LIKE '%climate%',True,True
"SELECT t1.title, sum(t3.ec_max_contribution) from programmes as t1 join project_programmes as t2 on t1.code = t2.programme join projects as t3 on t3.unics_id = t2.project group by t1.title",Show the title and amount of funds that have been allocated per programme,True,"SELECT p.title, SUM(pr.total_cost) FROM programmes p JOIN project_programmes pp ON p.code = pp.programme JOIN projects pr ON pp.project = pr.unics_id GROUP BY p.title",True,False
"SELECT t1.title, sum(t3.ec_max_contribution) from programmes as t1 join project_programmes as t2 on t1.code = t2.programme join projects as t3 on t3.unics_id = t2.project group by t1.title",List all of the titles and the amount of funding that has been dispersed per programme,True,"SELECT p.title, SUM(pr.total_cost) FROM programmes p JOIN project_programmes pp ON p.code = pp.programme JOIN projects pr ON pp.project = pr.unics_id GROUP BY p.title",True,False
